filename, language, YAML, JavaScript, JSON, Markdown, TypeScript, Vue, XML, HTML, CSS, comment, blank, total
d:\Repos\Web\Aphelion\Final\Server\public\assets\js\chunk-vendors.c8dcc3c5.js, JavaScript, 0, 9, 0, 0, 0, 0, 0, 0, 0, 48, 0, 57
d:\Repos\Web\Aphelion\Final\Server\public\index.html, HTML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
d:\Repos\Web\Aphelion\Final\Server\src\events\EventDefinitions.ts, TypeScript, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
d:\Repos\Web\Aphelion\Final\Server\src\interfaces\IAccountInfo.ts, TypeScript, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
d:\Repos\Web\Aphelion\Final\Server\src\interfaces\IAuthResponse.ts, TypeScript, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
d:\Repos\Web\Aphelion\Final\Server\src\interfaces\IEntity.ts, TypeScript, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
d:\Repos\Web\Aphelion\Final\Server\src\interfaces\IHazard.ts, TypeScript, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
d:\Repos\Web\Aphelion\Final\Server\src\interfaces\IUserInfo.ts, TypeScript, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
d:\Repos\Web\Aphelion\Final\Server\src\main.ts, TypeScript, 0, 0, 0, 0, 43, 0, 0, 0, 0, 4, 7, 54
d:\Repos\Web\Aphelion\Final\Server\src\services\AmbientContext.ts, TypeScript, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
d:\Repos\Web\Aphelion\Final\Server\src\services\ConnectionService.ts, TypeScript, 0, 0, 0, 0, 44, 0, 0, 0, 0, 2, 10, 56
d:\Repos\Web\Aphelion\Final\Server\src\services\CryptoService.ts, TypeScript, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 9, 53
d:\Repos\Web\Aphelion\Final\Server\src\services\DatabaseService.ts, TypeScript, 0, 0, 0, 0, 111, 0, 0, 0, 0, 18, 11, 140
d:\Repos\Web\Aphelion\Final\Server\src\services\GameService.ts, TypeScript, 0, 0, 0, 0, 73, 0, 0, 0, 0, 5, 12, 90
d:\Repos\Web\Aphelion\Final\Server\src\services\LoggerService.ts, TypeScript, 0, 0, 0, 0, 114, 0, 0, 0, 0, 4, 19, 137
d:\Repos\Web\Aphelion\Final\Server\src\services\MessageService.ts, TypeScript, 0, 0, 0, 0, 107, 0, 0, 0, 0, 6, 15, 128
d:\Repos\Web\Aphelion\Final\Server\src\utils\DatabaseReturnStatus.ts, TypeScript, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
d:\Repos\Web\Aphelion\Final\Server\src\utils\GameRoom.ts, TypeScript, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 19, 149
d:\Repos\Web\Aphelion\Final\Server\src\utils\InfoHelper.ts, TypeScript, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 7
d:\Repos\Web\Aphelion\Final\Server\src\utils\MessageTypes.ts, TypeScript, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 4, 17
d:\Repos\Web\Aphelion\Final\Server\src\utils\Validator.ts, TypeScript, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
d:\Repos\Web\Aphelion\Final\Server\tests\database.test.ts, TypeScript, 0, 0, 0, 0, 2, 0, 0, 0, 0, 51, 7, 60
d:\Repos\Web\Aphelion\Final\Server\tsconfig.json, JSON, 0, 0, 19, 0, 0, 0, 0, 0, 0, 14, 0, 33
d:\Repos\Web\Aphelion\Final\Server\tslint.json, JSON, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
d:\Repos\Web\Aphelion\Final\cloudbuild.yaml, YAML, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
Total, -, 18, 977, 20809, 23, 1392, 1348, 6, 1, 1, 269, 501, 25345
